url	class	mine	weight	words	title
https://getoptimal.ai/	other	False	p2	2064	AI Code Review for GitHub & GitLab | Optibot by Optimal AI
https://getoptimal.ai/agents/appsec	product	True	p1	1202	Optibot AppSec Agent — AI Security Scanning | Optimal
https://getoptimal.ai/agents/ci-fixer	product	True	p1	1204	Optibot CI Fixer — Auto-Repair Failed CI Builds | Optimal
https://getoptimal.ai/agents/dependency-bundler	product	True	p1	1318	Dependency Bundler — Consolidate Dependabot PRs | Optimal
https://getoptimal.ai/agents/review-fixer	product	True	p1	1584	Review Fixer Agent — Optibot by Optimal AI
https://getoptimal.ai/ai-code-reviews	product	True	p1	1601	AI Code Reviews — Deep, Automated & GitHub-Native | Optimal
https://getoptimal.ai/blog	blog	False	p2	343	Blog: AI Code Reviews & Engineering | Optimal AI
https://getoptimal.ai/blog/ai-code-review-for-gitlab	blog	False	p2	3625	Best AI Code Review Tools for GitLab 2026 | Optimal AI
https://getoptimal.ai/blog/best-ai-code-review-tools	blog	False	p2	3240	9 Best AI Code Review Tools 2026: Ranked & Compared
https://getoptimal.ai/blog/best-ai-coding-assistants-for-jetbrains	blog	False	p2	2721	Best AI for JetBrains IDEs 2026: IntelliJ, PyCharm
https://getoptimal.ai/blog/coderabbit-alternatives	comparison	True	p0	2530	Best CodeRabbit Alternatives 2026 | Optimal AI
https://getoptimal.ai/blog/cursor-bugbot-pricing	pricing	True	p0	1448	Cursor BugBot Pricing 2026: What Does It Actually Cost?
https://getoptimal.ai/blog/dora-metrics-guide	blog	False	p2	2209	DORA Metrics Guide: Benchmarks, Formulas & Improvement
https://getoptimal.ai/blog/github-copilot-code-review-alternatives	comparison	True	p0	4311	Best GitHub Copilot Code Review Alternatives 2026
https://getoptimal.ai/blog/greptile-alternatives	comparison	True	p0	3416	Best Greptile Alternatives 2026 | Optimal AI
https://getoptimal.ai/blog/how-to-reduce-pr-review-time	blog	False	p2	3770	PR Cycle Time: How to Measure and Reduce It
https://getoptimal.ai/blog/replit-app-security	blog	False	p2	1582	Replit App Security: Scan for AI Code Vulnerabilities
https://getoptimal.ai/blog/replit-code-review	blog	False	p2	1528	Replit Code Review: Catching Bugs in AI-Generated Code
https://getoptimal.ai/bugbot-cost-calculator	pricing	True	p0	1288	Cursor BugBot Pricing 2026: Cost Calculator | Optimal
https://getoptimal.ai/careers	other	False	p2	270	Careers — Optimal AI
https://getoptimal.ai/case-studies	case_study	False	p2	311	Case Studies — Optimal AI
